"379","0159648","2008-01-01","2010-09-1091","wara aq idea","","0"
"380","0160820","2013-05-21","2010-09-1091","322.00","",""
"381","0337512","2013-06-04","2010-09-1091","402.00","",""
"382","0423497","2013-07-15","2010-09-1091","290.00","",""
"383","0423686","2013-07-22","2010-09-1091","370.00","",""
"384","0566403","2013-08-22","2010-09-1091","386.00","",""
"404","0159811","2013-04-13","2004-12-0251","2507.00","",""
"405","0160370","2013-05-20","2004-12-0251","3025.05","",""
"406","0160370","2013-05-20","2004-12-0251","3025.05","",""
"407","0423360","2013-07-09","2004-12-0251","4524.45","",""
"408","0424231","2013-08-06","2004-12-0251","5,970.30","",""
"409","0424231","2013-08-06","2004-12-0251","5,970.30","",""
"410","0424231","2013-08-06","2004-12-0251","5,970.30","",""
"411","0423249","2013-09-06","2004-12-0251","5227.00","",""
"420","0073677","2008-01-01","2007-03-0685","wara aq idea","","0"
"421","0158524","2013-02-18","2007-03-0685","140.00","",""
"422","0159253","2013-03-12","2007-03-0685","140.00","",""
"423","0159667","2013-04-08","2007-03-0685","140.00","",""
"424","0160268","2013-05-06","2007-03-0685","140.00","",""
"425","0337640","2013-06-10","2007-03-0685","140.00","",""
"426","0423733","2013-07-22","2007-03-0685","140.00","",""
"427","0566302","2013-08-15","2007-03-0685","140.00","",""
"437","N/A","2008-01-01","2004-05-0112","wara aq idea","","0"
"438","0160467","2013-05-10","2004-05-0112","155.00","",""
"439","0160467","2013-05-10","2004-05-0112","155.00","",""
"440","0423678","2013-07-22","2004-05-0112","200.00","",""
"441","0423678","2013-07-22","2004-05-0112","200.00","",""
"442","0566461","2013-08-22","2004-05-0112","140.00","",""
"443","0566461","2013-08-22","2004-05-0112","140.00","",""
"444","0566461","2013-08-22","2004-05-0112","140.00","",""
"445","N/A","2008-01-01","2007-05-0708","wara aq idea","","0"
"446","0158931","2013-03-04","2007-05-0708","126.39","",""
"447","0159619","2013-04-02","2007-05-0708","290.00","",""
"448","0160310","2013-05-02","2007-05-0708","1300.00","",""
"449","0337779","2013-06-13","2007-05-0708","718.66","",""
"450","0337779","2013-06-13","2007-05-0708","718.66","",""
"451","0423616","2013-07-17","2007-05-0708","536.66","",""
"452","0566847","2013-09-06","2007-05-0708","455.41","",""
"453","N/A","2008-01-01","2004-07-0189","wara aq idea","","0"
"454","0337587","2013-06-04","2004-07-0189","147.00","",""
"455","0337587","2013-06-04","2004-07-0189","147.00","",""
"456","0423674","2013-07-22","2004-07-0189","147.00","",""
"457","0423674","2013-07-22","2004-07-0189","147.00","",""
"458","0566402","2013-08-23","2004-07-0189","147.00","",""
"459","N/A","2008-01-01","2009-03-0904","wara aq idea","","0"
"460","0423694","2013-07-22","2009-03-0904","257.25","",""
"461","0423694","2013-07-22","2009-03-0904","257.25","",""
"462","0423694","2013-07-22","2009-03-0904","257.25","",""
"463","0423694","2013-07-22","2009-03-0904","257.25","",""
"464","0566521","2013-08-23","2009-03-0904","241.50","",""
"465","0159060","2013-03-07","2010-11-1122","543.90","",""
"466","0159550","2013-04-08","2010-11-1122","455.70","",""
"467","0160409","2013-05-08","2010-11-1122","438.90","",""
"468","0160952","2013-06-03","2010-11-1122","438.90","",""
"469","0423888","2013-07-24","2010-11-1122","615.00","",""
"470","0424514","2013-08-12","2010-11-1122","704.55","",""
"471","0566463 	","2013-08-22","2009-09-0941","147.00","",""
"472","0566463 	","2013-08-22","2009-09-0941","147.00","",""
"473","0566463 	","2013-08-22","2009-09-0941","147.00","",""
"474","0566463 	","2013-08-22","2009-09-0941","147.00","",""
"475","0566463 	","2013-08-22","2009-09-0941","147.00","",""
"476","0566463 	","2013-08-22","2009-09-0941","147.00","",""
"477","N/A","2008-01-01","2004-06-0172","wara aq idea","","0"
"478","0423763","2013-07-23","2004-06-0172","257.25","",""
"479","0423763","2013-07-23","2004-06-0172","257.25","",""
"480","0424457","2013-08-07","2004-06-0172","194.25","",""
"481","0424457","2013-08-07","2004-06-0172","194.25","",""
"483","0073754","2013-01-15","2004-05-0069","140.00","",""
"484","0073754","2013-01-15","2004-05-0069","140.00","",""
"485","0073754","2013-01-15","2004-05-0069","140.00","",""
"487","0158597","2013-02-26","2004-06-0170","241.50","",""
"488","0159446","2013-04-02","2004-06-0170","304.50","",""
"489","0160052","2013-04-15","2004-06-0170","210.00","",""
"490","0160398","2013-05-22","2004-06-0170","225.75","",""
"491","0338006","2013-06-21","2004-06-0170","257.25","",""
"492","0338289","2013-07-03","2004-06-0170","288.25","",""
"493","0424609","2013-08-19","2004-06-0170","304.50","",""
"494","N/A","2008-01-01","2012-09-1330","wara aq idea","","0"
"495","0158799","2013-02-22","2012-09-1330","147.00","",""
"496","0160481","2013-05-13","2012-09-1330","147.00","",""
"497","0160481","2013-05-13","2012-09-1330","147.00","",""
"498","0160841","2013-05-23","2012-09-1330","194.25","",""
"499","0337645","2013-06-10","2012-09-1330","140.00","",""
"500","0423617","2013-07-17","2012-09-1330","155.00","",""
"501","0566792","2013-09-04","2012-09-1330","140.00","",""
"502","0566792","2013-09-04","2012-09-1330","140.00","",""
"503","0073942","2013-01-23","2004-06-0168","147.00","",""
"504","0160010","2013-04-26","2004-06-0168","147.00","",""
"505","0160010","2013-04-26","2004-06-0168","147.00","",""
"506","0160010","2013-04-26","2004-06-0168","147.00","",""
"507","0160491","2013-05-14","2004-06-0168","140.00","",""
"508","0160491","2013-05-14","2004-06-0168","140.00","",""
"509","0423337","2013-07-10","2004-06-0168","147.00","",""
"510","0423337","2013-07-10","2004-06-0168","147.00","",""
"511","0424611","2013-08-19","2004-06-0168","140.00","",""
"516","N/A","2008-01-01","2004-05-0024","wara aq idea","","0"
"517","0423689","2013-07-22","2004-05-0024","490.35","",""
"518","0423689","2013-07-22","2004-05-0024","490.35","",""
"519","0423689","2013-07-22","2004-05-0024","490.35","",""
"520","0423689","2013-07-22","2004-05-0024","490.35","",""
"521","0566405","2013-08-22","2004-05-0024","438.10","",""
"522","0158767","2013-02-19","2006-05-0545","304.50","",""
"523","0159357","2013-03-18","2006-05-0545","306.00","",""
"524","0159864","2013-04-16","2006-05-0545","245.00","",""
"525","0160634","2013-05-14","2006-05-0545","322.00","",""
"526","0337848","2013-06-17","2006-05-0545","338.00","",""
"527","0423577","2013-07-16","2006-05-0545","275.00","",""
"528","0424740","2013-08-15","2006-05-0545","275.00","",""
"529","N/A","2008-01-01","2011-02-1159","wara aq idea","","0"
"534","N/A","2008-01-01","2012-11-1361","wara aq idea","","0"
"535","0159175","2013-03-11","2012-11-1361","155.00","",""
"536","0159175","2013-03-11","2012-11-1361","155.00","",""
"537","0160874","2013-05-31","2012-11-1361","147.00","",""
"538","0160874","2013-05-31","2012-11-1361","147.00","",""
"539","0423662","2013-07-19","2012-11-1361","147.00","",""
"540","0423662","2013-07-19","2012-11-1361","147.00","",""
"541","0424412","2013-08-08","2012-11-1361","140.00","",""
"542","0074301","2013-02-08","2011-02-1159","140.00","",""
"543","0159525","2013-04-03","2011-02-1159","162.75","",""
"544","0338252","2013-07-01","2011-02-1159","178.50","",""
"545","0338252","2013-07-01","2011-02-1159","178.50","",""
"546","0424356","2013-08-05","2011-02-1159","162.75","",""
"547","0424356","2013-08-05","2011-02-1159","162.75","",""
"548","0159215","2013-03-13","2008-11-0884","162.75","",""
"549","0159215","2013-03-13","2008-11-0884","162.75","",""
"550","0160967","2013-06-05","2008-11-0884","225.75","",""
"551","0160967","2013-06-05","2008-11-0884","225.75","",""
"552","0423364","2013-07-09","2008-11-0884","422.10","",""
"553","0423364","2013-07-09","2008-11-0884","422.10","",""
"554","0566566","2013-09-06","2008-11-0884","147.00","",""
"555","0566566","2013-09-06","2008-11-0884","147.00","",""
"556","N/A","2008-01-01","2004-10-0233","wara aq idea","","0"
"557","0423860","2013-07-23","2004-10-0233","194.25","",""
"558","0423860","2013-07-23","2004-10-0233","194.25","",""
"559","0423860","2013-07-23","2004-10-0233","194.25","",""
"560","0423860","2013-07-23","2004-10-0233","194.25","",""
"561","0423860","2013-07-23","2004-10-0233","194.25","",""
"562","0423860","2013-07-23","2004-10-0233","194.25","",""
"563","N/A","2008-01-01","2005-05-0307","wara aq idea","","0"
"564","0073834","2013-02-13","2005-05-0307","260.00","",""
"565","0158612","2013-03-14","2005-05-0307","306.00","",""
"566","0159908","2013-04-11","2005-05-0307","322.00","",""
"567","0159944","2013-05-08","2005-05-0307","230.00","",""
"568","0160582","2013-06-13","2005-05-0307","215.00","",""
"569","0424171","2013-07-29","2005-05-0307","288.75","",""
"570","0425702","2013-08-13","2005-05-0307","1453.00","",""
"571","N/A","2008-01-01","2012-02-1261","wara aq idea","","0"
"572","0074347","2013-02-13","2012-02-1261","185.00","",""
"573","0160338","2013-05-06","2012-02-1261","200.00","",""
"574","0160338","2013-05-06","2012-02-1261","200.00","",""
"575","0160338","2013-05-06","2012-02-1261","200.00","",""
"576","0337604","2013-06-07","2012-02-1261","200.00","",""
"577","0423588","2013-07-16","2012-02-1261","215.00","",""
"578","0424707","2013-08-14","2012-02-1261","200.00","",""
"579","N/A","2008-01-01","2004-05-0062","wara aq idea","","0"
"580","0423696","2013-07-22","2004-05-0062","438.90","",""
"581","0423824","2013-07-24","2004-05-0062","526.50","",""
"582","0423824","2013-07-24","2004-05-0062","526.50","",""
"583","0423824","2013-07-24","2004-05-0062","526.50","",""
"584","0423824","2013-07-24","2004-05-0062","526.50","",""
"585","N/A","2008-01-01","2006-05-0540","wara aq idea","","0"
"586","0158796","2013-02-21","2006-05-0540","147.00","",""
"587","0159262","2013-03-13","2006-05-0540","140.00","",""
"588","0160213","2013-04-25","2006-05-0540","147.00","",""
"589","0160504","2013-05-15","2006-05-0540","140.00","",""
"590","0337825","2013-06-14","2006-05-0540","140.00","",""
"591","0338189","2013-07-03","2006-05-0540","170.00","",""
"592","0424368","2013-08-06","2006-05-0540","140.00","",""
"593","N/A","2008-01-01","2009-12-0961","wara aq idea","","0"
"594","0074223","2013-06-13","2009-12-0961","155.00","",""
"595","0159029","2013-03-08","2009-12-0961","185.00","",""
"596","0159746","2013-04-08","2009-12-0961","215.00","",""
"597","0160043","2013-05-03","2009-12-0961","290.00","",""
"598","0337598","2013-06-04","2009-12-0961","245.00","",""
"599","0338295","2013-07-03","2009-12-0961","275.00","",""
"600","0424555","2013-08-08","2009-12-0961","290.00","",""
"601","0566809","2013-09-04","2009-12-0961","170.00","",""
"602","N/A","2008-01-01","2013-02-1398","wara aq idea","","0"
"603","0160356","2013-05-20","2013-02-1398","608.35","",""
"604","0160356","2013-05-20","2013-02-1398","608.35","",""
"605","0160356","2013-05-20","2013-02-1398","608.35","",""
"606","0496501","2013-08-22","2013-02-1398","321.30","",""
"607","N/A","2008-01-01","2004-07-0185","wara aq idea","","0"
"608","0424180","2013-08-05","2004-07-0185","526.05","",""
"609","0424180","2013-08-05","2004-07-0185","526.05","",""
